algo_id,mint,symbol,name,entry_timestamp,entry_price_usd,exit_timestamp,exit_price_usd,pnl_percent,pnl_usd,exit_reason,dual_trigger_bar,high_water_mark_price,high_water_mark_percent,trade_duration_hours,candles_in_trade,score_at_entry,liquidity_at_entry,momentum_1h_at_entry,vol_liq_ratio_at_entry
"prestock_speculative","PresTj4Yc2bAR197Er7wz4UUKSfqt6FryBEdAriBoQB","ANDURL","Anduril PreStocks",1768161600,115.08975837238243,1770757200,118.55002371623547,2.1347,0.2135,"expired",false,126.27037622593154,9.7147,721,515,58,535677.4721,0.018,0.143
"prestock_speculative","Pren1FvFX6J3E4kXhJuCiAD5aDmGEb7qJRncwA8Lkhw","ANTHRP","Anthropic PreStocks",1768284000,356.7993626737782,1768384800,397.4203992352076,10.4921,1.0492,"tp_hit",false,399.90848830055404,12.0822,28,25,60,667990.0946,0.015,1.088
"prestock_speculative","Pren1FvFX6J3E4kXhJuCiAD5aDmGEb7qJRncwA8Lkhw","ANTHRP","Anthropic PreStocks",1768456800,424.67545513674446,1769194800,473.02407622333465,10.4921,1.0492,"tp_hit",false,496.1926738442871,16.8404,205,107,60,667990.0946,0.015,1.088
"prestock_speculative","Pren1FvFX6J3E4kXhJuCiAD5aDmGEb7qJRncwA8Lkhw","ANTHRP","Anthropic PreStocks",1769436000,475.18963461705727,1769461200,425.3216899940308,-11.3325,-1.1333,"sl_hit",false,475.18963461705727,0,7,7,60,667990.0946,0.015,1.088
"prestock_speculative","Pren1FvFX6J3E4kXhJuCiAD5aDmGEb7qJRncwA8Lkhw","ANTHRP","Anthropic PreStocks",1769554800,424.9936144165419,1769824800,380.3934032904232,-11.3325,-1.1333,"sl_hit",false,433.24514953331806,1.9416,75,74,60,667990.0946,0.015,1.088
"prestock_speculative","Pren1FvFX6J3E4kXhJuCiAD5aDmGEb7qJRncwA8Lkhw","ANTHRP","Anthropic PreStocks",1769950800,398.68202069018895,1770620400,444.0713308545339,10.4921,1.0492,"tp_hit",false,457.58657482082043,14.7748,186,185,60,667990.0946,0.015,1.088
"prestock_speculative","PreweJYECqtQwBtpxHL171nL2K6umo692gTm7Q3rpgF","OPENAI","OpenAI PreStocks",1770037200,1054.5143809087474,1771196400,1077.25773278645,1.287,0.1287,"end_of_data",false,1092.6289759524889,3.6144,322,312,53,470848.9675,0.031,0.194
"prestock_speculative","Pre8AREmFPtoJFT8mQSXQLh56cwJmM7CFDRuoGBZiUP","POLYMARKET","Polymarket PreStocks",1770512400,154.57138545293017,1771196400,164.33098869869178,5.4339,0.5434,"end_of_data",false,166.6721888847213,7.8286,190,179,55,319126.0179,0.02,0.594
"prestock_speculative","Pren1FvFX6J3E4kXhJuCiAD5aDmGEb7qJRncwA8Lkhw","ANTHRP","Anthropic PreStocks",1770649200,468.0048975099435,1770786000,418.89094254933315,-11.3325,-1.1333,"sl_hit",false,468.0048975099435,0,38,35,60,667990.0946,0.015,1.088
"prestock_speculative","PreLWGkkeqG1s4HEfFZSy9moCrJ7btsHuUtfcCeoRua","KALSHI","Kalshi PreStocks",1770904800,380.3879013789373,1771196400,367.4731810080916,-4.2511,-0.4251,"end_of_data",false,380.3879013789373,0,81,78,54,269377.7164,0.018,0.682
"prestock_speculative","PresTj4Yc2bAR197Er7wz4UUKSfqt6FryBEdAriBoQB","ANDURL","Anduril PreStocks",1771023600,118.82622193690904,1771196400,117.58978386655005,-1.9023,-0.1902,"end_of_data",false,118.82622193690904,0,48,48,58,535677.4721,0.018,0.143
"prestock_speculative","PreANxuXjsy2pvisWWMNB6YaJNzr7681wJJr2rHsfTh","SPACEX","SpaceX PreStocks",1771117200,675.4245242950594,1771221600,657.9345451956511,-3.4474,-0.3447,"end_of_data",false,675.4245242950594,0,29,27,53,775734.7282,0.058,0.013
