mint,symbol,name,pool_address,creation_timestamp,liquidity_usd,volume_24h_usd,price_change_1h,price_usd,buy_txn_count_24h,sell_txn_count_24h,holder_count,has_twitter,has_website,has_telegram,source
"F3MjyFVf1C7LXLe9n46HVUR7CRU2XhRJiuuSDJM3pump","MOGGED","Mogged By Clav","D2n7q5qAJ9k37XpAVBvpUNHcCM5DUDeUENGMcqam5At4",1771143500,2235.2092,580.6484969659,-8.818,0.0000026981142606198516,4,6,0,false,false,false,"geckoterminal"
"23fXYniHCmy1oJTnnvwqPsoESiVq9zqj6F1t8pR4pump","BOI","raved up white boi","DYx4VercwVDbMA6nxgpe7nGPqVTDJuJ7SzrHZAUmg2qB",1771143495,5389.1225,501.3209351823,173.085,0.000006953167677515958,33,25,0,false,false,false,"geckoterminal"
"4mg9hDt5Si7hMiFMAEDZLBrpXXkknXpJGUfwJbp8pump","wifjuice","wifhat wifjuice","31KKBhvumTbmyBdhoYkxacd7EuFexiGjrxHFoRDT9daT",1771143488,2464.669,297.3626991543,13.805,0.0000031351702341374166,9,0,0,false,false,false,"geckoterminal"
"qMvofu8yj6HxF4HpAZdTTeTsdKvSqk5tq5yBdjnpump","BREATH","George Floyd","7CpF7XM56Mp2LjZLPjVvmKAGaZf8L6LuGPqNLH9As9C7",1771143486,2367.457,295.9592211401,18.196,0.0000030098382572129925,3,0,0,false,false,false,"geckoterminal"
"4h1nSqRtysEL8WT16JFukftRUC8DS3Rg13MtzSZjWXRb","马头","马头","4wkoiCd8ZPUn365XPKb2vxNSeQL7AWByh4ZwcUzTtKg6",1771143482,199372.8933,778.8331484344,83.987,0.00020881175394988805,29,0,0,false,false,false,"geckoterminal"
"J5X2oKRTQjdkLXrN6dTU4eaQgdwseo561To7BkHTpump","MOGGED","hello it got trending page?","8jbEhH7bo3BNPScgxWMH4FVacMWGB5QChTAPuSSPNY92",1771143481,2020.6905,82.6228562074,-5.382,0.0000025466467639980227,1,4,0,false,false,false,"geckoterminal"
"6xWJP4U86A3M7zepZ2yN6h8WXCMETudiHM5ss1FfZb8j","1000X","1000X","3BbczHMr1gMFwLR3ZGZYEjsZCrR4b42ErQdR9rbLk4f5",1771143478,36748.1,15315.5192760514,440.999,0.00007874310038442449,52,5,0,false,false,false,"geckoterminal"
"9YTVtCdxSDdcNd4ok3MdCn5qb879zvvXjddZ27xxpump","Jay-Z","The New Epstien","3t1REy3W7yrEKcA66ig2nBi8y4rcMEaTpLfcvczYYqaj",1771143468,2047.2124,224.12931189,0.087,0.000002581343782514838,1,2,0,false,false,false,"geckoterminal"
"82yGSFxFdtNJuSbX8QcJB2L4qxQo3u2XT2R7UAkdpump","Stank","oooo bitch it stank","HbdhoCQzc3xyDESmcKhWPUHjeeHH7bWdNcKyzDT1aPVG",1771143461,2014.6502,0.8963542642,0.011,0.0000025380049212271065,1,1,0,false,false,false,"geckoterminal"
"6Ms8dUxGqEAqgNetPTY1ThDGP8qeoEABcR4wUKaQpump","wifjuice","dogwifjuice","9yQ8GYimWAHXZqCpHoSCeoXaN2bgSWG7xWSdZpTU7Koi",1771143458,2145.5482,188.2203616622,-11.867,0.0000025415146448344074,1,3,0,false,false,false,"geckoterminal"
"C45yt6dLw8Jbz1wYWsFqVxJGFDHCcQWM8E5Wz2VNs8RK","OILX","Oil Exchange","FZrJidECGaKxJqRXCed76Jev4BCVCtxu99vYA7kzob51",1771143456,38057.5556,15333.6785192719,497.936,0.00008599362645182504,53,0,0,false,false,false,"geckoterminal"
"4Kyr6pAgQgcDbLxiE5jBfBYtxt9etC8s77h8UQLppump","BUNK","BunkerCoin","boZRjVUisVJYu8in2U3Mp568brPojMHtYfpxMCgxCPN",1771143455,2053.0749,107.6410958107,0.158,0.000002591494632411436,1,1,0,false,false,false,"geckoterminal"
"74yXMBuAShhXPXES38j5cM3xgv9MR3HZv4QYHsyqAvjq","ICED","Iced Dog","B7rpehxdA9JEt4ENGgDbawbRw17Runm9occToPrMbrET",1771143448,51275.016,266385.964834453,87.454,0.00003575509231267006,649,522,0,false,false,false,"geckoterminal"
"K3geh3rEZPFnKPf5VdtNwzzv3pRm8WaMQBk4n4Mpump","Bigmac","Bigmac","GjuzR8UTrgvUMSUFYQvJMiZfWdNXPu7QRpxLGEdRzy8H",1771143439,298.2609,1154.7421078789,-88.485,2.968814175375692e-7,26,30,0,false,false,false,"geckoterminal"
"HZsTHdPhXbLrejWgfvu8RcNgdrpkKLyHzTUHpTaapump","Acceptance","Life when you","GBTC62amE4bchqCgZ5JMLmHo6Ki4YDFoDYEZ4wHeVN96",1771143435,2113.7934,268.91832938,0.002,0.0000026629006975629553,1,1,0,false,false,false,"geckoterminal"
